Loan.number,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
51810,10400,10400,0.1212,36 months,credit_card,0.1892,MA,RENT,3333.33,690-694,11,11964,0,10+ years
14108,25000,24975,0.1484,36 months,credit_card,0.1588,NY,RENT,7250,705-709,6,10770,2,10+ years
102270,20000,13000,0.1197,36 months,other,0.1896,KS,MORTGAGE,7501,705-709,17,17212,7,1 year
16300,16000,15800,0.1743,60 months,credit_card,0.1307,FL,MORTGAGE,4583.33,675-679,7,5729,0,10+ years
82744,15000,15000,0.0790,36 months,major_purchase,0.2239,CA,MORTGAGE,7500,725-729,10,18756,0,10+ years
94041,24625,24625,0.1972,60 months,debt_consolidation,0.2096,NY,RENT,5166.67,675-679,14,20694,0,8 years
99568,21850,21850,0.1311,36 months,credit_card,0.2808,MN,RENT,4166.67,690-694,12,20497,0,< 1 year
66550,6000,6000,0.1531,36 months,debt_consolidation,0.1568,NC,MORTGAGE,7500,670-674,10,5263,1,3 years
102756,6700,6636.91,0.1600,36 months,debt_consolidation,0.2153,GA,MORTGAGE,4700,725-729,11,9007,9,2 years
3962,10000,9225.43,0.1221,36 months,moving,0.1045,MA,RENT,7667,700-704,9,17328,0,2 years
83847,5775,5775,0.1531,36 months,debt_consolidation,0.0408,SC,RENT,5000,670-674,8,10088,2,10+ years
33997,14475,14475,0.1527,36 months,credit_card,0.2369,NJ,RENT,4166.67,680-684,12,13294,1,3 years
72499,8000,8000,0.1727,36 months,debt_consolidation,0.2788,IL,RENT,2833.33,670-674,10,9926,3,6 years
92186,15000,15000,0.1212,36 months,debt_consolidation,0.1422,FL,MORTGAGE,5416.67,700-704,10,9237,0,< 1 year
80094,10000,10000,0.1777,36 months,debt_consolidation,0.1241,PA,MORTGAGE,4166.67,680-684,6,31212,0,8 years
32684,5600,5600,0.1349,36 months,debt_consolidation,0.1833,NY,RENT,2870.33,690-694,6,5033,2,5 years
14595,10000,10000,0.1632,60 months,home_improvement,0.1480,WV,RENT,2290,685-689,5,394,2,n/a
96564,13000,13000,0.1409,36 months,debt_consolidation,0.3264,PA,MORTGAGE,5000,675-679,8,15208,0,10+ years
17157,15000,10825,0.0999,60 months,debt_consolidation,0.1195,AZ,MORTGAGE,1958.33,745-749,8,3584,1,2 years
79363,2100,2100,0.1212,36 months,credit_card,0.2577,MN,RENT,2555.16,680-684,8,21190,0,10+ years
70571,12000,12000,0.1212,36 months,debt_consolidation,0.2048,NV,MORTGAGE,7666.67,685-689,10,5832,0,2 years
3660,1000,1000,0.1316,36 months,other,0.1963,MI,RENT,3500,670-674,9,11189,2,2 years
65335,16000,16000,0.1409,60 months,small_business,0.0778,PA,RENT,4166.67,735-739,6,4240,3,2 years
36283,14000,14000,0.0790,36 months,credit_card,0.2169,IL,RENT,3162.25,730-734,12,13579,0,9 years
100086,14000,14000,0.1016,36 months,debt_consolidation,0.1344,CA,RENT,7916.67,690-694,16,19621,0,n/a
3406,20000,3850,0.1221,36 months,debt_consolidation,0.1463,NY,RENT,6000,725-729,8,28585,0,10+ years
4799,17000,15865.55,0.1114,36 months,debt_consolidation,0.0665,AZ,MORTGAGE,6333.33,760-764,7,6542,1,7 years
21789,7350,7350,0.1074,60 months,debt_consolidation,0.2982,WA,MORTGAGE,5000,745-749,15,15093,1,4 years
9281,10000,9500,0.1025,36 months,major_purchase,0.1293,NY,RENT,4841.67,775-779,4,0,1,4 years
8424,20000,19796.41,0.1136,36 months,debt_consolidation,0.0834,PA,MORTGAGE,15416.67,710-714,10,46501,0,10+ years
7967,7000,7000,0.0714,36 months,credit_card,0.0544,MN,MORTGAGE,3807.64,760-764,7,7196,0,5 years
76489,6000,6000,0.1212,60 months,other,0.0931,CA,RENT,9583.33,715-719,12,27756,0,2 years
19321,12000,12000,0.1000,36 months,debt_consolidation,0.1232,WI,MORTGAGE,5000,715-719,6,4515,1,7 years
73614,4225,4225,0.0603,36 months,small_business,0.1452,NY,MORTGAGE,2583.33,750-754,17,3907,0,4 years
599,14700,1973.77,0.1229,36 months,debt_consolidation,0.2194,CT,RENT,3100,700-704,14,14694,2,8 years
11084,2500,2500,0.0676,36 months,debt_consolidation,0.0699,WI,MORTGAGE,4750,755-759,15,4658,2,4 years
15135,4800,4775,0.1484,36 months,moving,0.0000,CA,RENT,2500,670-674,4,0,0,2 years
43572,6000,6000,0.1596,36 months,credit_card,0.2210,MI,RENT,5583.33,665-669,9,36748,3,5 years
62900,6000,6000,0.0603,36 months,credit_card,0.0565,AL,MORTGAGE,7083.33,750-754,15,5747,0,4 years
85201,1800,1800,0.1531,36 months,other,0.0679,OK,MORTGAGE,6416.67,670-674,6,3394,2,7 years
69401,7200,7200,0.1580,36 months,debt_consolidation,0.2532,FL,MORTGAGE,3333.33,675-679,13,8903,1,6 years
52823,6000,6000,0.1212,36 months,home_improvement,0.2389,TX,MORTGAGE,8000,680-684,8,16139,0,2 years
93551,15300,14850,0.1114,36 months,debt_consolidation,0.1131,OH,MORTGAGE,6833.33,670-674,11,7106,2,10+ years
2645,5000,5000,0.0932,36 months,home_improvement,0.0389,MN,MORTGAGE,2083.33,775-779,4,3901,2,4 years
62663,10500,10500,0.1777,36 months,credit_card,0.1233,PA,MORTGAGE,4583.33,665-669,9,18936,1,5 years
79948,6625,6625,0.1777,36 months,debt_consolidation,0.1168,CA,RENT,10268.25,660-664,9,3563,0,2 years
71685,16000,16000,0.2247,60 months,credit_card,0.1127,CA,RENT,4791.67,665-669,5,8474,0,2 years
100140,22000,22000,0.1629,60 months,debt_consolidation,0.2633,WI,RENT,4166.67,675-679,10,25245,0,5 years
11304,5000,5000,0.1521,60 months,house,0.1038,CA,RENT,6833.33,680-684,11,5045,1,8 years
89582,20000,20000,0.0890,36 months,credit_card,0.1079,IL,RENT,12083.33,680-684,8,25672,0,1 year
23686,1500,1500,0.1306,36 months,major_purchase,0.2082,TX,MORTGAGE,7083.33,670-674,8,4665,1,6 years
28812,8000,8000,0.0749,36 months,car,0.0286,CT,MORTGAGE,5666.67,730-734,7,5964,0,10+ years
57235,18225,18225,0.1629,60 months,debt_consolidation,0.3219,AL,MORTGAGE,7166.67,705-709,19,29219,2,4 years
73371,5000,5000,0.0762,36 months,debt_consolidation,0.0843,OH,MORTGAGE,2916.67,740-744,6,12444,1,10+ years
53062,10000,10000,0.1399,36 months,debt_consolidation,0.1073,NC,RENT,2629,685-689,5,10029,0,n/a
65567,8000,8000,0.1777,36 months,small_business,0.2856,MN,RENT,2083.33,670-674,4,9059,0,6 years
104040,6000,6000,0.1075,36 months,debt_consolidation,0.1205,NJ,RENT,6000,720-724,14,25090,4,10+ years
18942,24250,24225,0.1862,60 months,debt_consolidation,0.2274,RI,RENT,5000,685-689,13,14392,1,2 years
42555,8700,8700,0.1269,36 months,home_improvement,0.0502,NY,RENT,14166.67,675-679,11,19036,0,< 1 year
34403,20400,20375,0.1465,60 months,debt_consolidation,0.1038,VA,RENT,6733.33,725-729,8,11149,2,6 years
47998,9000,9000,0.0662,36 months,other,0.1614,MT,RENT,3333.33,740-744,10,8689,0,6 years
70942,16100,16100,0.1114,36 months,debt_consolidation,0.2536,MO,MORTGAGE,6250,715-719,14,9737,0,10+ years
75067,35000,35000,0.2100,36 months,debt_consolidation,0.1105,LA,MORTGAGE,7702,670-674,8,11346,0,10+ years
21036,4600,4600,0.0766,36 months,debt_consolidation,0.0914,MO,MORTGAGE,6500,700-704,9,12942,0,7 years
102309,14400,5325,0.1418,36 months,credit_card,0.2304,MO,MORTGAGE,4583.33,685-689,13,17568,4,10+ years
81788,5000,5000,0.1114,36 months,other,0.1361,NY,RENT,3333.33,685-689,10,8436,0,n/a
60201,5500,5500,0.1905,36 months,home_improvement,0.0233,GA,OWN,7500,660-664,3,2530,1,7 years
11835,25000,15800,0.1398,60 months,debt_consolidation,0.2023,PA,MORTGAGE,5416.67,720-724,13,21168,2,10+ years
72655,5000,5000,0.1409,36 months,debt_consolidation,0.1118,AZ,RENT,10625,670-674,8,8054,0,1 year
51070,10000,10000,0.1465,36 months,debt_consolidation,0.1204,CA,RENT,2791.67,710-714,6,12139,1,3 years
3532,20000,13975,0.1189,36 months,home_improvement,0.0289,AL,MORTGAGE,5050,740-744,6,6863,4,10+ years
19831,10000,10000,0.1714,36 months,debt_consolidation,0.0959,MA,RENT,1658,680-684,3,4902,0,< 1 year
56446,17000,17000,0.0976,36 months,debt_consolidation,0.2360,NJ,RENT,5416.67,740-744,16,5992,4,10+ years
92839,25000,25000,0.2247,60 months,credit_card,0.2362,TX,MORTGAGE,5000,665-669,16,25348,1,3 years
74939,5000,5000,0.0790,36 months,debt_consolidation,0.0728,NY,RENT,8666.67,710-714,9,4572,0,1 year
59190,6000,6000,0.1311,36 months,credit_card,0.2134,RI,MORTGAGE,5416.67,685-689,19,15107,2,10+ years
56692,8000,8000,0.1727,36 months,credit_card,0.0732,NY,RENT,5833.33,670-674,8,5350,2,4 years
84593,12000,12000,0.1409,36 months,wedding,0.1533,CA,RENT,8666.67,695-699,10,9624,1,1 year
5724,3000,3000,0.0894,36 months,other,0.1342,NY,RENT,4500,720-724,9,2541,2,< 1 year
15351,5000,5000,0.0617,60 months,major_purchase,0.1152,NY,RENT,1667,770-774,6,1108,0,3 years
70412,3200,3200,0.1016,36 months,debt_consolidation,0.1617,CA,MORTGAGE,3750,705-709,9,4283,1,6 years
77240,7625,7625,0.1849,36 months,credit_card,0.1579,NC,RENT,3166.67,670-674,4,8030,0,5 years
27710,3000,3000,0.2211,60 months,other,0.0000,MN,OWN,1471,690-694,3,0,0,6 years
25655,5000,5000,0.1149,36 months,home_improvement,0.0662,NC,MORTGAGE,3125,730-734,4,7187,1,1 year
27832,18500,18500,0.1299,36 months,debt_consolidation,0.0796,NY,RENT,5000,685-689,6,13490,0,10+ years
80208,18000,18000,0.1409,36 months,debt_consolidation,0.1545,OR,MORTGAGE,4000,690-694,11,13877,0,5 years
27425,4200,4200,0.1059,36 months,car,0.1153,GA,RENT,3000,695-699,11,10067,0,7 years
21033,5000,4975,0.0729,36 months,vacation,0.0233,GA,MORTGAGE,5416.67,725-729,8,2937,1,10+ years
34961,19000,19000,0.1171,60 months,credit_card,0.1379,NJ,MORTGAGE,4791.67,730-734,9,16348,0,5 years
38145,15000,15000,0.1677,36 months,debt_consolidation,0.0729,MD,RENT,7916.67,675-679,5,5355,1,6 years
77673,18625,18625,0.1972,60 months,credit_card,0.2298,AL,RENT,4000,680-684,15,26050,2,9 years
51812,6075,6075,0.0762,36 months,debt_consolidation,0.2825,OR,RENT,1083.33,720-724,8,11539,0,n/a
94947,12500,12500,0.1531,36 months,debt_consolidation,0.1767,TX,MORTGAGE,3916.67,690-694,7,8221,3,10+ years
49573,5000,5000,0.1531,36 months,debt_consolidation,0.0491,CA,RENT,7083.33,665-669,12,8225,1,5 years
61720,10000,10000,0.1212,36 months,credit_card,0.2306,MA,RENT,3083.33,690-694,14,13638,0,3 years
42743,8000,8000,0.1677,36 months,credit_card,0.2099,TX,RENT,3750,660-664,6,4010,0,5 years
50398,20000,19975,0.1581,36 months,debt_consolidation,0.2142,CO,RENT,5000,680-684,12,24352,1,< 1 year
40343,9600,9600,0.1349,36 months,credit_card,0.1504,PA,RENT,4250,685-689,17,7713,1,1 year
52548,3600,3600,0.0976,36 months,credit_card,0.1134,MI,RENT,2108.33,695-699,14,4467,0,n/a
96704,14075,14075,0.1875,36 months,other,0.1296,NY,RENT,3033.33,690-694,6,13036,0,8 years
10059,3000,3000,0.0751,36 months,major_purchase,0.1131,CT,RENT,3500,735-739,9,0,2,3 years
82534,35000,34975,0.1016,36 months,debt_consolidation,0.2556,NY,RENT,9220,760-764,12,40782,1,10+ years
25767,1700,1700,0.0699,36 months,car,0.0520,VA,RENT,2250,750-754,4,4527,0,5 years
9244,8800,8800,0.0751,36 months,other,0.2073,PA,MORTGAGE,4833,790-794,6,306,4,5 years
6045,24250,23985.41,0.1218,36 months,debt_consolidation,0.1765,CA,MORTGAGE,8910.42,740-744,16,81940,0,10+ years
5073,10750,10166.42,0.1114,36 months,credit_card,0.1191,MA,MORTGAGE,4416.67,720-724,9,12619,1,2 years
38378,6000,6000,0.1596,36 months,debt_consolidation,0.2485,CA,MORTGAGE,3264,660-664,13,6347,1,10+ years
99189,15000,15000,0.1016,36 months,credit_card,0.1857,CA,MORTGAGE,5000,700-704,13,33389,0,10+ years
66604,15000,15000,0.1433,36 months,credit_card,0.1638,MD,MORTGAGE,5500,700-704,10,12413,2,3 years
87649,10000,10000,0.1311,36 months,credit_card,0.1412,CA,RENT,7500,680-684,12,3235,0,6 years
58739,5950,5950,0.1212,36 months,credit_card,0.2154,FL,MORTGAGE,5000,690-694,9,47746,0,10+ years
28808,10000,10000,0.1099,36 months,debt_consolidation,0.0823,NY,OWN,5833.33,700-704,15,11620,0,< 1 year
26877,4000,4000,0.1523,36 months,other,0.1073,MA,RENT,2916.67,670-674,6,1651,1,6 years
13309,15000,14675,0.0788,36 months,home_improvement,0.0053,VA,MORTGAGE,10417,780-784,8,1343,1,< 1 year
6128,10000,9850,0.1531,36 months,debt_consolidation,0.1860,NY,RENT,2500,665-669,8,9092,1,< 1 year
70785,8875,8875,0.1311,36 months,other,0.3046,TX,OWN,2166.67,700-704,9,6797,1,2 years
44672,2400,2400,0.1074,36 months,credit_card,0.1120,NY,RENT,2000,705-709,4,3055,0,10+ years
13054,25000,24950,0.2053,60 months,debt_consolidation,0.1850,NJ,RENT,8000,675-679,9,19548,0,3 years
103426,5500,5500,0.1607,36 months,other,0.1935,FL,MORTGAGE,3937.08,685-689,6,689,8,10+ years
4545,6000,6000,0.1253,36 months,credit_card,0.2307,PA,RENT,2916.67,685-689,11,3334,0,2 years
82722,18000,18000,0.1905,60 months,debt_consolidation,0.0628,MD,MORTGAGE,7500,690-694,8,20675,1,10+ years
40489,28000,27975,0.0790,36 months,small_business,0.0581,WA,MORTGAGE,7000,800-804,8,771,2,9 years
49956,32000,32000,0.1629,60 months,debt_consolidation,0.1514,AZ,RENT,7055,725-729,8,16174,1,6 years
69741,6000,6000,0.1311,36 months,credit_card,0.0453,NY,RENT,2625,690-694,5,4299,1,10+ years
65248,7200,7200,0.0890,60 months,debt_consolidation,0.2516,LA,MORTGAGE,3750,750-754,13,7283,0,6 years
75785,11500,11500,0.1114,36 months,debt_consolidation,0.1047,AL,RENT,2916.67,700-704,6,9562,0,< 1 year
27764,4800,4800,0.0542,36 months,major_purchase,0.1023,FL,MORTGAGE,6333.33,790-794,13,10704,0,10+ years
43707,4000,4000,0.1065,36 months,debt_consolidation,0.2340,NC,MORTGAGE,2333.33,685-689,21,3522,0,7 years
35025,15000,15000,0.1065,36 months,other,0.1436,CA,RENT,9083.33,720-724,11,26902,0,3 years
28518,15000,15000,0.1799,36 months,debt_consolidation,0.2104,TX,MORTGAGE,5319.17,675-679,13,5613,3,2 years
42228,25000,25000,0.1242,36 months,debt_consolidation,0.0105,CA,MORTGAGE,16666.67,705-709,7,2839,0,10+ years
81620,4800,4800,0.1875,60 months,other,0.2769,TX,RENT,1560,680-684,9,6563,0,< 1 year
37389,9500,9500,0.0662,36 months,debt_consolidation,0.1928,GA,MORTGAGE,3583.33,735-739,8,5240,0,10+ years
3204,15000,6200,0.1253,36 months,home_improvement,0.1378,MO,MORTGAGE,8750,705-709,8,21702,3,1 year
10554,6000,6000,0.1398,36 months,debt_consolidation,0.0773,CO,RENT,6250,675-679,6,3507,0,4 years
94092,12300,12300,0.0603,36 months,debt_consolidation,0.0715,VA,RENT,6666.67,740-744,10,10976,0,10+ years
43387,24000,23950,0.0751,36 months,other,0.1795,PA,OWN,4250,755-759,6,19509,0,2 years
103784,2000,1975,0.1112,36 months,other,0.2050,NY,MORTGAGE,6833.33,705-709,19,20653,5,5 years
54576,14000,14000,0.0976,36 months,debt_consolidation,0.2255,NJ,MORTGAGE,8750,710-714,8,25026,0,10+ years
47468,10000,10000,0.1212,36 months,debt_consolidation,0.0595,NJ,OWN,5000,700-704,5,10752,0,4 years
2578,13000,8113.74,0.0963,36 months,small_business,0.1614,TX,MORTGAGE,3500,785-789,6,0,1,1 year
73765,5000,5000,0.1629,60 months,other,0.1180,VA,RENT,5416.67,690-694,7,8745,1,4 years
36519,6000,5994,0.1242,36 months,credit_card,0.1168,VA,RENT,2500,670-674,6,9482,0,2 years
90239,10050,10050,0.1433,36 months,debt_consolidation,0.0607,CA,RENT,2916.67,710-714,9,7413,1,6 years
45980,4800,4800,0.0790,36 months,debt_consolidation,0.1907,OH,RENT,1500,720-724,12,6813,3,< 1 year
55803,14400,14400,0.1074,36 months,debt_consolidation,0.0590,CA,MORTGAGE,6833.33,700-704,15,10017,0,10+ years
98051,11625,11625,0.1531,36 months,debt_consolidation,0.1673,CA,RENT,2833.33,695-699,8,17469,0,10+ years
62884,18200,18200,0.1016,36 months,credit_card,0.0795,NY,RENT,4750,720-724,13,16184,2,3 years
16406,20000,19875,0.1335,36 months,debt_consolidation,0.1568,TX,MORTGAGE,9160,710-714,9,32392,1,10+ years
37065,9600,9575,0.1727,60 months,credit_card,0.1290,NY,RENT,3333.33,695-699,7,13648,1,10+ years
4644,9000,9000,0.1183,36 months,car,0.0048,MD,RENT,4833,715-719,6,0,1,4 years
57169,35000,35000,0.1825,60 months,debt_consolidation,0.2769,MD,RENT,8083.33,725-729,15,29300,0,10+ years
33050,1900,1900,0.0751,36 months,debt_consolidation,0.1927,PA,MORTGAGE,6000,735-739,12,18397,2,10+ years
46324,20000,19896.51,0.1367,36 months,debt_consolidation,0.1534,FL,RENT,5166.67,710-714,8,12394,1,6 years
20367,2400,2400,0.1037,36 months,wedding,0.0954,MN,MORTGAGE,3166.67,675-679,6,2174,0,1 year
36837,4500,4500,0.1171,36 months,debt_consolidation,0.1587,CA,MORTGAGE,3333.33,675-679,15,11963,0,6 years
68829,12000,12000,0.1212,36 months,debt_consolidation,0.1941,TX,MORTGAGE,8750,710-714,10,32028,1,4 years
694,10000,8175.26,0.0863,36 months,debt_consolidation,0.0591,GA,MORTGAGE,7500,730-734,16,18343,0,7 years
61873,11575,11575,0.0790,36 months,debt_consolidation,0.1747,TX,MORTGAGE,2833.33,730-734,8,5654,0,10+ years
94081,20000,20000,0.0662,36 months,credit_card,0.2161,DC,MORTGAGE,8161.33,720-724,14,27904,1,8 years
101622,6000,3475,0.1470,36 months,debt_consolidation,0.1023,MD,RENT,6500,640-644,6,4103,0,1 year
21900,2800,2800,0.1000,36 months,debt_consolidation,0.2032,CA,RENT,3250,700-704,4,8717,0,5 years
70285,6000,6000,0.1409,36 months,credit_card,0.0993,CA,RENT,4250,680-684,6,5815,1,3 years
16069,20000,14750,0.0691,36 months,debt_consolidation,0.1516,CO,RENT,9208,735-739,10,20965,0,3 years
57923,22000,22000,0.1399,60 months,debt_consolidation,0.1828,MI,MORTGAGE,6083.33,720-724,9,20181,0,8 years
99914,10000,10000,0.1311,36 months,debt_consolidation,0.2034,MI,RENT,5416.67,675-679,9,8066,0,10+ years
100662,9450,9450,0.1212,36 months,credit_card,0.1174,IL,MORTGAGE,4666.67,690-694,13,17639,2,10+ years
20530,10400,10325,0.0766,36 months,debt_consolidation,0.1302,CA,MORTGAGE,6354,725-729,10,19656,3,10+ years
20329,15875,15818.07,0.1528,60 months,debt_consolidation,0.2210,CA,RENT,3000,720-724,5,14289,2,2 years
53424,18000,18000,0.1212,60 months,other,0.1489,VA,MORTGAGE,8333.33,730-734,7,4038,0,5 years
47764,8000,8000,0.0890,36 months,other,0.0293,NY,RENT,5000,710-714,8,5540,0,2 years
94950,12000,12000,0.1433,36 months,moving,0.2006,NY,RENT,4166.67,760-764,8,14163,0,2 years
15213,20000,12150,0.0654,60 months,debt_consolidation,0.1236,NY,OWN,5000,795-799,9,7960,2,10+ years
38976,10000,10000,0.1677,36 months,debt_consolidation,0.1855,CA,RENT,2916.67,660-664,9,7565,3,4 years
40113,24500,23475,0.1903,60 months,debt_consolidation,0.2302,MD,RENT,4497,680-684,13,18906,0,10+ years
71538,10000,10000,0.1212,36 months,debt_consolidation,0.1958,CA,RENT,6250,695-699,17,16348,0,5 years
48972,3600,3600,0.0790,36 months,credit_card,0.2621,OH,MORTGAGE,4166.67,735-739,19,25,2,3 years
31876,12000,12000,0.1749,60 months,debt_consolidation,0.0694,OR,MORTGAGE,5445,670-674,8,4904,0,9 years
48894,6950,6950,0.1074,36 months,credit_card,0.2071,IL,OWN,4583.33,685-689,7,18814,0,10+ years
74320,8525,8525,0.1016,36 months,debt_consolidation,0.2614,MT,MORTGAGE,4583.33,705-709,8,31398,0,10+ years
65600,5000,5000,0.1433,36 months,credit_card,0.2851,CO,RENT,2750,690-694,14,5957,2,3 years
38529,4800,4800,0.1825,60 months,debt_consolidation,0.1381,OR,RENT,3750,695-699,13,16302,0,10+ years
18088,6000,6000,0.1335,36 months,debt_consolidation,0.2136,NV,MORTGAGE,5000,665-669,11,4363,3,10+ years
47960,4000,4000,0.1922,60 months,small_business,0.0903,VA,RENT,3700,680-684,19,2177,2,2 years
48295,14000,14000,0.0603,36 months,debt_consolidation,0.1467,CA,RENT,7500,745-749,12,16648,0,10+ years
46245,23500,23450,0.1465,36 months,debt_consolidation,0.1948,CA,RENT,4000,685-689,7,20542,0,n/a
13454,2500,2500,0.1595,36 months,major_purchase,0.2407,CA,MORTGAGE,1500,665-669,10,2684,3,1 year
16524,2000,2000,0.0617,36 months,major_purchase,0.0263,CA,RENT,1600,745-749,9,736,0,3 years
92631,24000,23925,0.1629,60 months,credit_card,0.1177,NJ,MORTGAGE,7800,675-679,11,20676,3,2 years
14193,12800,12800,0.1149,60 months,debt_consolidation,0.0672,CT,MORTGAGE,4166.67,725-729,7,11992,1,1 year
51829,8000,8000,0.0790,36 months,wedding,0.2158,CA,RENT,5166.67,725-729,5,0,0,1 year
31000,3000,3000,0.0999,36 months,credit_card,0.2130,MO,OWN,2333.33,710-714,10,3168,1,1 year
86532,7000,7000,0.0790,36 months,credit_card,0.0141,FL,RENT,12500,725-729,4,5093,0,7 years
8102,18000,17975,0.1348,36 months,credit_card,0.0624,IL,MORTGAGE,8333.33,690-694,13,14838,0,10+ years
3112,9000,5975,0.1411,36 months,debt_consolidation,0.0821,CA,MORTGAGE,4167,670-674,7,19696,1,3 years
31448,11000,11000,0.1099,36 months,debt_consolidation,0.0426,SC,MORTGAGE,6666.67,695-699,11,4124,0,4 years
51408,6000,6000,0.0790,36 months,major_purchase,0.1499,IL,RENT,4416.67,720-724,10,2928,0,2 years
6646,6500,6475,0.0774,36 months,debt_consolidation,0.1800,NH,RENT,1500,785-789,5,2816,0,2 years
87572,19500,19500,0.1849,36 months,credit_card,0.0979,MD,RENT,10000,675-679,16,14957,1,2 years
33225,16000,16000,0.1727,60 months,major_purchase,0.1926,MD,RENT,7000,695-699,7,5231,1,10+ years
93794,18000,17950,0.1433,60 months,debt_consolidation,0.1398,KS,MORTGAGE,12916.67,685-689,11,14890,2,10+ years
54455,30000,29975,0.2333,60 months,debt_consolidation,0.1739,FL,MORTGAGE,7083.33,665-669,21,56145,1,10+ years
93742,10000,10000,0.1409,36 months,debt_consolidation,0.0582,LA,RENT,8750,660-664,14,11394,0,3 years
12860,16000,15900,0.1558,60 months,debt_consolidation,0.1286,WA,MORTGAGE,5427.42,700-704,11,19407,1,5 years
41993,35000,35000,0.1758,36 months,debt_consolidation,0.1180,MA,MORTGAGE,13333.33,690-694,12,21393,1,10+ years
18447,8000,8000,0.1372,36 months,wedding,0.0967,TX,RENT,7758.33,665-669,6,12110,1,2 years
71782,14500,14500,0.1311,36 months,debt_consolidation,0.2829,WA,MORTGAGE,5988.67,700-704,12,18020,2,10+ years
7789,12000,11925,0.1062,36 months,other,0.1902,VA,RENT,5000,720-724,9,11779,0,1 year
19675,4500,4500,0.1343,36 months,car,0.0123,CA,RENT,11500,670-674,5,1847,1,1 year
5858,16500,16350,0.1183,36 months,debt_consolidation,0.1744,TX,RENT,4810.08,725-729,7,24351,1,3 years
43307,10000,10000,0.0991,36 months,debt_consolidation,0.1432,MN,MORTGAGE,3666.67,705-709,9,17161,0,1 year
88490,35000,35000,0.1905,60 months,credit_card,0.1340,CA,MORTGAGE,9166.67,690-694,7,26633,0,1 year
101891,21000,6165.31,0.1109,36 months,home_improvement,0.2128,CA,OWN,18333.33,745-749,31,270800,5,2 years
102234,8400,6725,0.1545,36 months,debt_consolidation,0.1571,MD,RENT,7083.33,640-644,7,14578,3,< 1 year
65443,6000,6000,0.0790,36 months,credit_card,0.0931,TX,OWN,1750,705-709,14,5056,0,6 years
47597,12000,12000,0.1922,36 months,debt_consolidation,0.1462,CT,OWN,4166.67,665-669,3,6309,0,6 years
30397,12100,12100,0.1689,36 months,small_business,0.1116,TX,MORTGAGE,6166.67,665-669,5,2081,0,4 years
92868,25000,25000,0.1409,36 months,home_improvement,0.0479,MD,MORTGAGE,6833.33,675-679,5,8811,0,8 years
89683,16000,15925,0.0603,36 months,debt_consolidation,0.1448,CA,MORTGAGE,7333.33,780-784,11,71838,1,10+ years
48006,27000,27000,0.1825,36 months,home_improvement,0.2232,SC,MORTGAGE,8583.33,690-694,9,6658,1,8 years
66892,12250,12250,0.1875,36 months,debt_consolidation,0.1721,LA,OWN,2916.67,665-669,7,10523,0,7 years
79618,10000,10000,0.1777,36 months,debt_consolidation,0.2260,AZ,RENT,2500,665-669,12,12938,2,4 years
55180,9175,9175,0.1367,36 months,credit_card,0.1943,IL,MORTGAGE,7083.33,675-679,8,25639,0,8 years
75159,14075,14075,0.1531,36 months,debt_consolidation,0.2570,VA,OWN,4000,680-684,13,11907,2,5 years
48624,13100,13100,0.1855,36 months,debt_consolidation,0.2324,NY,RENT,7968.75,660-664,19,19607,1,10+ years
75022,14675,14675,0.0890,36 months,debt_consolidation,0.1495,NY,MORTGAGE,4000,715-719,6,12764,0,7 years
5733,5000,4900,0.1114,36 months,major_purchase,0.0284,FL,RENT,3200,710-714,6,2650,2,3 years
92795,18000,18000,0.1311,36 months,debt_consolidation,0.2654,OR,MORTGAGE,4166.67,670-674,11,16680,0,10+ years
94514,12000,12000,0.0762,36 months,debt_consolidation,0.1510,CO,RENT,5666.67,775-779,7,12094,0,10+ years
83906,19400,19400,0.1433,36 months,debt_consolidation,0.1615,MA,MORTGAGE,4583.33,680-684,12,12434,0,7 years
93318,18000,18000,0.1212,36 months,debt_consolidation,0.1929,IL,RENT,3333.33,665-669,15,26573,0,10+ years
62203,12000,12000,0.1777,36 months,debt_consolidation,0.0984,NY,MORTGAGE,7500,665-669,11,15866,0,7 years
60969,8000,8000,0.1311,36 months,debt_consolidation,0.2611,MN,MORTGAGE,4166.67,675-679,15,11500,0,< 1 year
94593,23750,23750,0.1972,60 months,debt_consolidation,0.1422,CT,RENT,8333.33,710-714,12,10549,3,2 years
12932,7500,7475,0.1558,36 months,debt_consolidation,0.1074,VA,MORTGAGE,5000,695-699,8,8257,0,2 years
37813,5500,5500,0.1269,36 months,debt_consolidation,0.2124,OH,RENT,1666.67,680-684,7,5056,1,< 1 year
70028,16950,16950,0.1727,60 months,debt_consolidation,0.2662,OK,MORTGAGE,3583.33,710-714,7,12588,3,10+ years
80138,3000,2950,0.1114,36 months,major_purchase,0.2774,VA,MORTGAGE,4333.33,715-719,6,6346,0,5 years
26033,1600,1600,0.1349,36 months,debt_consolidation,0.1210,CA,RENT,3200,670-674,5,1214,0,6 years
26950,6000,6000,0.0749,36 months,home_improvement,0.1466,NC,MORTGAGE,5833.33,715-719,12,7961,0,9 years
